Manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes,magnification ratio,entrance pupil
,,30mm,1.5,"14""",43.3mm,95mm,86mm,1136g,99mm,PL / EF / E / MFT,11,,,
,,45mm,1.5,"16""",43.3mm,95mm,86mm,1135g,114mm,PL / EF / E / MFT,9,,,
,,65mm,1.5,,,,,,,,,,,
,,150mm,3.0,"14""",43.3mm,95mm,86mm,1110g,129mm,PL / EF / E / MFT,9,1:1 macro,,
,,,,,,,,,,,,,,
Kinefinity,MAVO,25mm,2.1,"8""",46.5mm,95mm,,1310g,117mm,PL / EF,,,,
,,35mm,2.0,"12""",46.5mm,95mm,,1250g,117mm,PL / EF,,,,
,,50mm,2.0,"17""",46.5mm,95mm,,1210g,117mm,PL / EF,,,,
,,75mm,2.0,"27""",46.5mm,95mm,,1110g,117mm,PL / EF,,,,
,,100mm,2.0,"22""",46.5mm,95mm,,1210g,117mm,PL / EF,,,,
,,,,,,,,,,,,,,
Laowa,VV Cine,9mm,5.8,"4.7""",46.3mm,80mm,n/a,430g,41mm,PL / E / Z / RF,14,,,
,Zero-D VV Cine,10mm,2.9,"4.7""",46.3mm,80mm,n/a,545g,47mm,LPL / PL / E / Z / RF / L,14,,,
,,12mm,2.9,"5.5""",46.3mm,80mm,77mm,450g,47mm,PL / E / Z / RF / L,14,,,
,,14mm,2.6,"8""",46.3mm,80mm,77mm,592g,69mm,PL / E / Z / RF / EF / L,15,,,
,,,,,,,,,,,,,,
,Macro APO Cine,100mm,2.9,"9.7""",43.3mm,80mm,77mm,957g,163mm,PL / EF / E / R / L,13,2:1 macro,,
,,,,,,,,,,,,,,
,Sword macro,15mm,4.1,"4.7""",43.3mm,100mm,95mm,640g,67mm,PL / EF / E / R / L,14,1:1 macro,,
,,25mm,2.9,"6.6""",43.3mm,80mm,77mm,755g,95mm,PL / EF / E / R / L,7,1:1 macro,,
,,35mm,2.9,"7""",43.3mm,80mm,77mm,750g,95mm,PL / EF / E / R / L,13,1:1 macro,,
,,60mm,2.9,"8.3""",43.3mm,80mm,77mm,736g,113mm,PL / EF / E / R / L,13,2:1 macro,,
,,100mm,2.9,"9.7""",43.3mm,80mm,77mm,957g,140mm,PL / EF / E / R / L,13,2:1 macro,,
,,180mm,4.6,"12""",43.3mm,80mm,77mm,734g,125mm,PL / EF / E / R / L,13,1.5:1 macro,,
,,,,,,,,,,,,,,
Leitz,Hugo,18mm,1.5,"9""",43.3mm,95mm,92mm,1040g,71mm,LPL / L / M,11,,,
,,21mm,1.5,1',43.3mm,95mm,92mm,840g,68mm,LPL / L / M,11,,,
